Destino,Origem,Classificacao,Danos,Data,Municipio,Estado,Regiao,Tipo_de_Aerodromo,Tipo_de_Ocorrencia,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Fatais_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Lesoes_Leves_Tripulantes,Total_Lesoes,Atualizacao
,,Ocorrência Anormal,Sem Registro,2010-02-24,Sem Registro,SC,Sul,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Incidente,Sem Registro,2010-02-24,Sem Registro,RJ,Sudeste,Sem Registro,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Acidente,Sem Registro,2010-02-24,Sem Registro,GO,Centro-Oeste,Sem Registro,ARC,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Incidente Grave,Sem Registro,2010-02-23,Sem Registro,MT,Centro-Oeste,Sem Registro,RE,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Incidente Grave,Sem Registro,2010-02-23,Sem Registro,MT,Centro-Oeste,Sem Registro,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Incidente,Sem Registro,2010-02-22,Sem Registro,PR,Sul,Sem Registro,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-22,Sem Registro,MA,Nordeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Incidente Grave,Sem Registro,2010-02-21,Sem Registro,DF,Centro-Oeste,Sem Registro,ARC,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-21,Sem Registro,RJ,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-21,Sem Registro,SP,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-21,Sem Registro,RJ,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-20,Sem Registro,SP,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-20,Sem Registro,PR,Sul,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-20,Sem Registro,MA,Nordeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-19,Sem Registro,BA,Nordeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Acidente,Sem Registro,2010-02-17,Sem Registro,SP,Sudeste,Sem Registro,RE,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBJR,SBJR,Incidente,Nenhum,2012-12-10,RIO DE JANEIRO,RJ,Sudeste,Sem Registro,MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Incidente Grave,Sem Registro,2010-02-19,Sem Registro,PE,Nordeste,Sem Registro,OTHR,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SJQI,SJCY,Acidente,Substancial,2012-12-07,POCONÉ,MT,Centro-Oeste,Sem Registro,LOC-G,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SWPY,SWPY,Acidente,Substancial,2012-12-07,PRIMAVERA DO LESTE,MT,Centro-Oeste,Sem Registro,CTOL,0,0,0,0,0,0,0,0,1,0,0,0,1,2025-08-07 14:40:10
SBMT,SBMT,Incidente,Nenhum,2015-10-14,SÃO PAULO,SP,Sudeste,Sem Registro,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Acidente,Substancial,2015-10-11,VERA CRUZ,SP,Sudeste,Sem Registro,LOC-I,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBGL,SBGL,Incidente,Leve,2012-12-07,RIO DE JANEIRO,RJ,Sudeste,Sem Registro,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SNMH,SNMH,Acidente,Destruída,2015-09-20,PIRENÓPOLIS,GO,Centro-Oeste,Sem Registro,LOC-I,0,0,0,1,0,1,0,0,0,0,0,0,2,2025-08-07 14:40:10
SBJD,SBBU,Incidente,Leve,2015-09-20,JUNDIAÍ,SP,Sudeste,Sem Registro,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Acidente,Substancial,2015-09-18,ANGRA DOS REIS,RJ,Sudeste,Sem Registro,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBBH,SBBH,Ocorrência Anormal,Nenhum,2015-09-16,BELO HORIZONE,MG,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SNPA,SNCT,Acidente,Destruída,2015-10-06,CATAS ALTAS,MG,Sudeste,Sem Registro,UNK,0,0,0,1,0,1,0,0,0,0,0,0,2,2025-08-07 14:40:10
SNJD,SNIU,Incidente,Nenhum,2015-10-08,FEIRA DE SANTANA,BA,Nordeste,Sem Registro,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBGR,SBBE,Incidente,Leve,2015-10-01,BELÉM,PA,Norte,Sem Registro,OTHR,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SWUI,SWNK,Acidente,Substancial,2015-09-30,PAUINI,AM,Norte,Sem Registro,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,1,1,2025-08-07 14:40:10
SBSV,SNBR,Incidente,Leve,2015-09-30,SALVADOR,BA,Nordeste,Sem Registro,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Acidente,Substancial,2015-08-09,PIRACANJUBA,GO,Centro-Oeste,Sem Registro,LOC-I,0,0,0,0,0,1,0,0,0,0,0,0,1,2025-08-07 14:40:10
SBAU,SBKP,Ocorrência Anormal,Nenhum,2015-03-07,CAMPINAS,SP,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
XXXX,XXXX,Incidente Grave,Substancial,2015-03-20,SÃO DESIDÉRIO,BA,Nordeste,Sem Registro,CTOL,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBBE,SBHT,Incidente,Nenhum,2015-03-19,BELÉM,PA,Norte,Sem Registro,OTHR,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SDFZ,SDFZ,Incidente Grave,Substancial,2015-03-24,RIACHÂO DAS NEVES,BA,Nordeste,Sem Registro,OTHR,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SKBO,SBGR,Ocorrência Anormal,Nenhum,2015-02-26,GUARULHOS,SP,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBBP,SBBP,Ocorrência de Solo,Leve,2015-03-06,BRAGANÇA PAULISTA,SP,Sudeste,Sem Registro,OTHR,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBLO,SBLO,Ocorrência Anormal,Nenhum,2015-03-18,LONDRINA,PR,Sul,Público,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBTT,SWII,Acidente,Substancial,2015-03-11,TABATINGA,AM,Norte,Sem Registro,CTOL,0,0,0,0,0,0,0,0,0,5,0,1,6,2025-08-07 14:40:10
SWFN,SWFN,Ocorrência de Solo,Substancial,2015-03-14,MANAUS,AM,Norte,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBMT,SBMT,Incidente,Nenhum,2015-02-27,SÃO PAULO,SP,Sudeste,Sem Registro,F-NI,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBBP,SBBP,Ocorrência de Solo,Leve,2015-03-06,BRAGANÇA PAULISTA,SP,Sudeste,Sem Registro,OTHR,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
XXXX,XXXX,Acidente,Substancial,2015-03-06,MOGI GUAÇU,SP,Sudeste,Sem Registro,OTHR,0,0,0,0,0,1,0,0,0,0,0,0,1,2025-08-07 14:40:10
KMCO,SBKP,Ocorrência Anormal,Nenhum,2015-03-05,CAMPINAS,SP,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SSIE,SSIE,Acidente,Substancial,2015-03-05,CAMPO GRANDE,MS,Centro-Oeste,Sem Registro,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SSKM,SSKM,Acidente,Destruída,2015-02-25,CAMPO MOURÃO,PR,Sul,Sem Registro,LOC-I,0,0,0,0,2,2,0,0,0,0,0,0,4,2025-08-07 14:40:10
SBSV,SBVT,Ocorrência Anormal,Nenhum,2015-02-25,VITÓRIA,ES,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBUL,SBSP,Acidente,Substancial,2020-12-22,UBERLÂNDIA,MG,Sudeste,Público,RE,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBMO,Sem Registro,Acidente,Substancial,2021-01-18,BARREIROS,PE,Nordeste,-,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBRJ,SBBR,Ocorrência Anormal,Nenhum,2021-01-27,RIO DE JANEIRO,RJ,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBSP,SBBR,Ocorrência Anormal,Nenhum,2021-01-12,GUARULHOS,SP,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBRP,SBRP,Acidente,Substancial,2021-01-27,SERRA AZUL,SP,Sudeste,-,FUEL,0,0,0,0,0,0,0,0,0,0,0,1,1,2025-08-07 14:40:10
SBRP,SBRP,Acidente,Substancial,2021-01-27,SERRA AZUL,SP,Sudeste,-,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,1,1,2025-08-07 14:40:10
SDRS,SBJR,Incidente Grave,Leve,2021-01-24,RESENDE,RJ,Sudeste,Público,ARC,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SIXE,SIXE,Incidente,Leve,2021-02-25,ELDORADO DO SUL,RS,Sul,Privado,ARC,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBGR,SBPA,Incidente,Nenhum,2021-02-24,PORTO ALEGRE,RS,Sul,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBNM,SBNM,Incidente Grave,Nenhum,2021-02-22,SANTO ÂNGELO,RS,Sul,Público,RE,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-18,Sem Registro,AC,Norte,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBRJ,SBSP,Incidente,Nenhum,2021-02-24,RIO DE JANEIRO,RJ,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBCF,SBRJ,Incidente,Nenhum,2021-02-28,CONFINS,MG,Sudeste,Público,F-NI,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
Sem Registro,SBCP,Incidente,Leve,2021-02-25,CAMPOS DOS GOYTACAZES,RJ,Sudeste,Público,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-17,Sem Registro,PE,Nordeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-17,Sem Registro,SP,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Incidente Grave,Sem Registro,2010-02-16,Sem Registro,PR,Sul,Sem Registro,MED,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-16,Sem Registro,SP,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-16,Sem Registro,RJ,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-15,Sem Registro,RJ,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Incidente,Sem Registro,2010-02-15,Sem Registro,AM,Norte,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Acidente,Sem Registro,2010-02-14,Sem Registro,SP,Sudeste,Sem Registro,ARC,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Acidente,Sem Registro,2010-02-14,Sem Registro,MG,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-13,Sem Registro,SP,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-13,Sem Registro,SP,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-12,Sem Registro,SP,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-12,Sem Registro,RS,Sul,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-11,Sem Registro,RS,Sul,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-11,Sem Registro,ES,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-11,Sem Registro,RJ,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-11,Sem Registro,MA,Nordeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Incidente Grave,Sem Registro,2010-02-11,Sem Registro,BA,Nordeste,Sem Registro,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-11,Sem Registro,SP,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Acidente,Sem Registro,2010-02-10,Sem Registro,SP,Sudeste,Sem Registro,SCF-NP,0,0,0,0,0,1,1,0,0,0,0,0,2,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-10,Sem Registro,SP,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-10,Sem Registro,SP,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Ocorrência Anormal,Sem Registro,2010-02-10,Sem Registro,RJ,Sudeste,Sem Registro,Sem Registro,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Incidente,Sem Registro,2010-02-09,Sem Registro,BA,Nordeste,Sem Registro,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBCF,SBGO,Incidente,Nenhum,2015-08-06,UBERLÂNDIA,MG,Sudeste,Sem Registro,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBIL,SBQV,Incidente,Leve,2015-08-06,ILHÉUS,BA,Nordeste,Sem Registro,F-NI,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
,,Acidente,Substancial,2015-11-29,SÃO VICENTE DO SUL,RS,Sul,Sem Registro,SCF-PP,0,0,0,0,0,1,0,0,0,0,0,0,1,2025-08-07 14:40:10
SBJD,SBJD,Incidente,Leve,2015-12-02,JUNDIAÍ,SP,Sudeste,Sem Registro,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBBR,SBMQ,Incidente,Nenhum,2015-12-02,PALMAS,TO,Norte,Sem Registro,SCF-PP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SDSC,SBJD,Incidente,Nenhum,2015-11-29,SÃO PAULO,SP,Sudeste,Sem Registro,SCF-NP,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SWNV,SWNV,Acidente,Leve,2015-08-06,GOIÂNIA,GO,Centro-Oeste,Sem Registro,ARC,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SWNV,SWNV,Acidente,Leve,2015-08-06,GOIÂNIA,GO,Centro-Oeste,Sem Registro,RE,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
SBSN,SNMA,Incidente,Nenhum,2015-08-06,SANTARÉM,PA,Norte,Sem Registro,OTHR,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-07 14:40:10
